#this file was downloaded from Gene Ontology website, 4/7/2022. It contains MOUSE genes (taxon=mus musculus) that are associated with GO term "placenta development"
Ada	MGI:MGI:87916	adenosine deaminase
Nr2f2	MGI:MGI:1352452	nuclear receptor subfamily 2, group F, member 2
Nsdhl	MGI:MGI:1099438	NAD(P) dependent steroid dehydrogenase-like
Ovol2	MGI:MGI:1338039	ovo like zinc finger 2
Pbrm1	MGI:MGI:1923998	polybromo 1
Pcdh12	MGI:MGI:1855700	protocadherin 12
Pdgfb	MGI:MGI:97528	platelet derived growth factor, B polypeptide
Peg10	MGI:MGI:2157785	paternally expressed 10
Phlda2	MGI:MGI:1202307	pleckstrin homology like domain, family A, member 2
Pkd1	MGI:MGI:97603	polycystin 1, transient receptor potential channel interacting
Pkd2	MGI:MGI:1099818	polycystin 2, transient receptor potential cation channel
Pla2g4a	MGI:MGI:1195256	phospholipase A2, group IVA (cytosolic, calcium-dependent)
Plac1	MGI:MGI:1926287	placental specific protein 1
Plcd1	MGI:MGI:97614	phospholipase C, delta 1
Plcd3	MGI:MGI:107451	phospholipase C, delta 3
Plg	MGI:MGI:97620	plasminogen
Plk4	MGI:MGI:101783	polo like kinase 4
Ppard	MGI:MGI:101884	peroxisome proliferator activator receptor delta
Pparg	MGI:MGI:97747	peroxisome proliferator activated receptor gamma
Prdm1	MGI:MGI:99655	PR domain containing 1, with ZNF domain
Prdx3	MGI:MGI:88034	peroxiredoxin 3
Prl7d1	MGI:MGI:97619	prolactin family 7, subfamily d, member 1
Ptgis	MGI:MGI:1097156	prostaglandin I2 (prostacyclin) synthase
Ptgs2	MGI:MGI:97798	prostaglandin-endoperoxide synthase 2
Ptn	MGI:MGI:97804	pleiotrophin
Rbm15	MGI:MGI:2443205	RNA binding motif protein 15
Rbpj	MGI:MGI:96522	recombination signal binding protein for immunoglobulin kappa J region
Rps6	MGI:MGI:98159	ribosomal protein S6
Rspo3	MGI:MGI:1920030	R-spondin 3
Rtcb	MGI:MGI:106379	RNA 2',3'-cyclic phosphate and 5'-OH ligase
Rtl1	MGI:MGI:2656842	retrotransposon Gaglike 1
Rxra	MGI:MGI:98214	retinoid X receptor alpha
Rxrb	MGI:MGI:98215	retinoid X receptor beta
Senp2	MGI:MGI:1923076	SUMO/sentrin specific peptidase 2
Serpine1	MGI:MGI:97608	serine (or cysteine) peptidase inhibitor, clade E, member 1
Setd2	MGI:MGI:1918177	SET domain containing 2
Slc8a1	MGI:MGI:107956	solute carrier family 8 (sodium/calcium exchanger), member 1
Snai1	MGI:MGI:98330	snail family zinc finger 1
Socs3	MGI:MGI:1201791	suppressor of cytokine signaling 3
Sox15	MGI:MGI:98363	SRY (sex determining region Y)-box 15
Sp1	MGI:MGI:98372	trans-acting transcription factor 1
Sp3	MGI:MGI:1277166	trans-acting transcription factor 3
Spint1	MGI:MGI:1338033	serine protease inhibitor, Kunitz type 1
Spint2	MGI:MGI:1338031	serine protease inhibitor, Kunitz type 2
St14	MGI:MGI:1338881	suppression of tumorigenicity 14 (colon carcinoma)
Stk3	MGI:MGI:1928487	serine/threonine kinase 3
Stk4	MGI:MGI:1929004	serine/threonine kinase 4
Syde1	MGI:MGI:1918959	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)
Syna	MGI:MGI:2684898	syncytin a
Synb	MGI:MGI:3045308	syncytin b
Taf10	MGI:MGI:1346320	TATA-box binding protein associated factor 10
Tcf23	MGI:MGI:1934960	transcription factor 23
Tex19.1	MGI:MGI:1920929	testis expressed gene 19.1
Tex19.2	MGI:MGI:1918206	testis expressed gene 19.2
Tfeb	MGI:MGI:103270	transcription factor EB
Tmed2	MGI:MGI:1929269	transmembrane p24 trafficking protein 2
Tppp3	MGI:MGI:1915221	tubulin polymerization-promoting protein family member 3
Trim28	MGI:MGI:109274	tripartite motif-containing 28
Ttpa	MGI:MGI:1354168	tocopherol (alpha) transfer protein
Vash1	MGI:MGI:2442543	vasohibin 1
Vash2	MGI:MGI:2444826	vasohibin 2
Vcam1	MGI:MGI:98926	vascular cell adhesion molecule 1
Vwf	MGI:MGI:98941	Von Willebrand factor
Wnt2	MGI:MGI:98954	wingless-type MMTV integration site family, member 2
Wnt7b	MGI:MGI:98962	wingless-type MMTV integration site family, member 7B
Xist	MGI:MGI:98974	inactive X specific transcripts
Zfat	MGI:MGI:2681865	zinc finger and AT hook domain containing
Zfp36l1	MGI:MGI:107946	zinc finger protein 36, C3H type-like 1
Zfp568	MGI:MGI:2142347	zinc finger protein 568
